input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261344.5886528, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 17}","{'COLD_START': False, 'compute_t': 6.375203847885132, 'delta_t': 7.255484580993652, 'download_pickle_t': 2.1457672119140625e-05, 'download_t': 0.0017189979553222656, 'finish_t': 1675261350.9655154, 'init_t': 0.2987539768218994, 'mapping_delay': -0.00182342529296875, 'upload_pickle_t': 3.409385681152344e-05, 'upload_t': 0.0012116432189941406}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-2nbp7', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1675261344.5886528, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 17}","{'COLD_START': False, 'compute_t': 5.119561672210693, 'delta_t': 9.32652997970581, 'download_pickle_t': 1.6689300537109375e-05, 'download_t': 0.0011568069458007812, 'finish_t': 1675261349.7236862, 'init_t': 0.3193247318267822, 'mapping_delay': 0.012231826782226562, 'upload_pickle_t': 4.57763671875e-05, 'upload_t': 0.0017783641815185547}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-9jlkc', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1675261344.5886528, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 17}","{'COLD_START': False, 'compute_t': 6.399059772491455, 'delta_t': 1.2471046447753906, 'download_pickle_t': 1.9788742065429688e-05, 'download_t': 0.005450010299682617, 'finish_t': 1675261350.9920845, 'init_t': 0.3589797019958496, 'mapping_delay': -0.002492666244506836, 'upload_pickle_t': 5.14984130859375e-05, 'upload_t': 0.001134634017944336}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-6xxkq', 'memory': 4096.0, 'nodename': 'k8s03', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 6.289155960083008, 'delta_t': 16.00138807296753, 'download_pickle_t': 3.933906555175781e-05, 'download_t': 0.0023849010467529297, 'finish_t': 1675261351.8969615, 'init_t': 0.3554849624633789, 'mapping_delay': 0.01240086555480957, 'upload_pickle_t': 7.867813110351562e-05, 'upload_t': 0.0015630722045898438}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-7jjwz', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 6.70537805557251, 'delta_t': 3.9245598316192627, 'download_pickle_t': 4.6253204345703125e-05, 'download_t': 0.005565166473388672, 'finish_t': 1675261352.3153079, 'init_t': 0.5174307823181152, 'mapping_delay': 0.01187276840209961, 'upload_pickle_t': 2.8133392333984375e-05, 'upload_t': 0.0013780593872070312}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-vks79', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 4.6955578327178955, 'delta_t': 6.130643844604492, 'download_pickle_t': 1.6927719116210938e-05, 'download_t': 0.0018084049224853516, 'finish_t': 1675261350.3084521, 'init_t': 0.3795435428619385, 'mapping_delay': 0.018520593643188477, 'upload_pickle_t': 2.384185791015625e-05, 'upload_t': 0.0013964176177978516}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-8gf6q', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 6.073638200759888, 'delta_t': 8.318300247192383, 'download_pickle_t': 1.71661376953125e-05, 'download_t': 0.0012507438659667969, 'finish_t': 1675261351.677499, 'init_t': 0.3268923759460449, 'mapping_delay': 0.009856700897216797, 'upload_pickle_t': 4.792213439941406e-05, 'upload_t': 0.0015935897827148438}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-n6h4b', 'memory': 4096.0, 'nodename': 'k8s05', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 4, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 4.6882548332214355, 'delta_t': 8.367019891738892, 'download_pickle_t': 1.5974044799804688e-05, 'download_t': 0.0011436939239501953, 'finish_t': 1675261350.3000221, 'init_t': 0.3237416744232178, 'mapping_delay': 0.018180370330810547, 'upload_pickle_t': 2.3126602172851562e-05, 'upload_t': 0.001363515853881836}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-ktg6s', 'memory': 4096.0, 'nodename': 'k8s04', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 5, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 4.20794677734375, 'delta_t': 8.26986837387085, 'download_pickle_t': 1.9311904907226562e-05, 'download_t': 0.0015873908996582031, 'finish_t': 1675261349.7147398, 'init_t': 0.3561725616455078, 'mapping_delay': -0.08724570274353027, 'upload_pickle_t': 3.409385681152344e-05, 'upload_t': 0.0013043880462646484}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-vgmfv', 'memory': 4096.0, 'nodename': 'k8s07', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 6, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 4.458575010299683, 'delta_t': 6.325671911239624, 'download_pickle_t': 2.6941299438476562e-05, 'download_t': 0.0015914440155029297, 'finish_t': 1675261349.965272, 'init_t': 0.33341217041015625, 'mapping_delay': -0.08728718757629395, 'upload_pickle_t': 7.224082946777344e-05, 'upload_t': 0.001184701919555664}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-qjsq5', 'memory': 4096.0, 'nodename': 'k8s07', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 7, 'input_data_key': 'input_data_key', 'invoke_t': 1675261345.590859, 'n_request': 8, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 18}","{'COLD_START': False, 'compute_t': 4.463903427124023, 'delta_t': 1.323897123336792, 'download_pickle_t': 2.1457672119140625e-05, 'download_t': 0.00759124755859375, 'finish_t': 1675261350.0715547, 'init_t': 0.5957226753234863, 'mapping_delay': 0.007399082183837891, 'upload_pickle_t': 5.91278076171875e-05, 'upload_t': 0.0013473033905029297}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-k7fd7', 'memory': 4096.0, 'nodename': 'k8s08', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
"{'function_name': 'test-intra-parallelism', 'handler': 'matmul', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1675261349.5960875, 'n_request': 1, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 22}","{'COLD_START': False, 'compute_t': 4.211545705795288, 'delta_t': 12.319522142410278, 'download_pickle_t': 2.9325485229492188e-05, 'download_t': 0.0019178390502929688, 'finish_t': 1675261353.813876, 'init_t': 0.33191537857055664, 'mapping_delay': 0.0029630661010742188, 'upload_pickle_t': 2.3603439331054688e-05, 'upload_t': 0.0010669231414794922}","{'hostname': 'test-intra-parallelism-00005-deployment-84677cd886-fcksh', 'memory': 4096.0, 'nodename': 'k8s02', 'vcpus': 2.0}","{'function_name': 'test-intra-paralelism', 'output_data_key': 'output_data_key'}"
